"","drug","model.id","response_type","value"
"891","LEE011 + everolimus","X.028.LE11.evus","mRECIST","PD"
"892","LEE011 + everolimus","X.028.LE11.evus","best.average.response","26.4375"
"893","LEE011 + everolimus","X.028.LE11.evus","slope","85.6850"
"894","LEE011 + everolimus","X.028.LE11.evus","AUC","423.0441"
"895","LEE011 + everolimus","X.028.LE11.evus","survival","17.0000"
"896","LJM716","X.028.LJ16","mRECIST","PD"
"897","LJM716","X.028.LJ16","best.average.response","60.6028"
"898","LJM716","X.028.LJ16","slope","87.8713"
"899","LJM716","X.028.LJ16","AUC","596.8431"
"900","LJM716","X.028.LJ16","survival","29.0000"
"901","LJM716 + trastuzumab","X.028.LJ16.trab","mRECIST","SD"
"902","LJM716 + trastuzumab","X.028.LJ16.trab","best.average.response","-19.5502"
"903","LJM716 + trastuzumab","X.028.LJ16.trab","slope","-30.3836"
"904","LJM716 + trastuzumab","X.028.LJ16.trab","AUC","180.3685"
"905","LJM716 + trastuzumab","X.028.LJ16.trab","survival","54.0000"
"906","LLM871","X.028.LL71","mRECIST","PD"
"907","LLM871","X.028.LL71","best.average.response","23.0350"
"908","LLM871","X.028.LL71","slope","85.2550"
"909","LLM871","X.028.LL71","AUC","415.9632"
"910","LLM871","X.028.LL71","survival","34.0000"
"911","trastuzumab","X.028.trab","mRECIST","SD"
"912","trastuzumab","X.028.trab","best.average.response","5.4196"
"913","trastuzumab","X.028.trab","slope","82.1126"
"914","trastuzumab","X.028.trab","AUC","304.7597"
"915","trastuzumab","X.028.trab","survival","31.0000"
"916","BGJ398","X.029.BG98","mRECIST",NA
"917","BGJ398","X.029.BG98","best.average.response","NA"
"918","BGJ398","X.029.BG98","slope","89.2658"
"919","BGJ398","X.029.BG98","AUC","639.0955"
"920","BGJ398","X.029.BG98","survival","11.0000"
"921","binimetinib","X.029.biib","mRECIST","SD"
"922","binimetinib","X.029.biib","best.average.response","-6.4497"
"923","binimetinib","X.029.biib","slope","77.4411"
"924","binimetinib","X.029.biib","AUC","339.3076"
"925","binimetinib","X.029.biib","survival","33.0000"
"926","BKM120","X.029.BK20","mRECIST","PD"
"927","BKM120","X.029.BK20","best.average.response","57.5253"
"928","BKM120","X.029.BK20","slope","88.5200"
"929","BKM120","X.029.BK20","AUC","597.1611"
"930","BKM120","X.029.BK20","survival","18.0000"
"931","BYL719","X.029.BY19","mRECIST","PD"
"932","BYL719","X.029.BY19","best.average.response","18.9823"
"933","BYL719","X.029.BY19","slope","86.6970"
"934","BYL719","X.029.BY19","AUC","441.0362"
"935","BYL719","X.029.BY19","survival","29.0000"
"936","BYL719 + HSP990","X.029.BY19.HS90","mRECIST",NA
"937","BYL719 + HSP990","X.029.BY19.HS90","best.average.response","NA"
"938","BYL719 + HSP990","X.029.BY19.HS90","slope","87.9835"
"939","BYL719 + HSP990","X.029.BY19.HS90","AUC","450.2958"
"940","BYL719 + HSP990","X.029.BY19.HS90","survival","12.0000"
"941","BYL719 + LJM716","X.029.BY19.LJ16","mRECIST","PD"
"942","BYL719 + LJM716","X.029.BY19.LJ16","best.average.response","160.5345"
"943","BYL719 + LJM716","X.029.BY19.LJ16","slope","89.0598"
"944","BYL719 + LJM716","X.029.BY19.LJ16","AUC","771.6467"
"945","BYL719 + LJM716","X.029.BY19.LJ16","survival","15.0000"
"946","CLR457","X.029.CL57","mRECIST",NA
"947","CLR457","X.029.CL57","best.average.response","NA"
"948","CLR457","X.029.CL57","slope","88.0662"
"949","CLR457","X.029.CL57","AUC","354.2292"
"950","CLR457","X.029.CL57","survival","12.0000"
"951","everolimus","X.029.evus","mRECIST","PD"
"952","everolimus","X.029.evus","best.average.response","34.3117"
"953","everolimus","X.029.evus","slope","87.4122"
"954","everolimus","X.029.evus","AUC","474.6444"
"955","everolimus","X.029.evus","survival","18.0000"
"956","figitumumab","X.029.fiab","mRECIST",NA
"957","figitumumab","X.029.fiab","best.average.response","NA"
"958","figitumumab","X.029.fiab","slope","89.2052"
"959","figitumumab","X.029.fiab","AUC","605.0500"
"960","figitumumab","X.029.fiab","survival","11.0000"
"961","HDM201","X.029.HD01","mRECIST","PD"
"962","HDM201","X.029.HD01","best.average.response","48.4821"
"963","HDM201","X.029.HD01","slope","88.1028"
"964","HDM201","X.029.HD01","AUC","455.7222"
"965","HDM201","X.029.HD01","survival","18.0000"
"966","HSP990","X.029.HS90","mRECIST",NA
"967","HSP990","X.029.HS90","best.average.response","NA"
"968","HSP990","X.029.HS90","slope","88.2568"
"969","HSP990","X.029.HS90","AUC","399.2333"
"970","HSP990","X.029.HS90","survival","9.0000"
"971","INC280","X.029.IN80","mRECIST",NA
"972","INC280","X.029.IN80","best.average.response","NA"
"973","INC280","X.029.IN80","slope","88.9486"
"974","INC280","X.029.IN80","AUC","529.3375"
"975","INC280","X.029.IN80","survival","12.0000"
"976","INC280 + trastuzumab","X.029.IN80.trab","mRECIST",NA
"977","INC280 + trastuzumab","X.029.IN80.trab","best.average.response","NA"
"978","INC280 + trastuzumab","X.029.IN80.trab","slope","89.2459"
"979","INC280 + trastuzumab","X.029.IN80.trab","AUC","747.2875"
"980","INC280 + trastuzumab","X.029.IN80.trab","survival","12.0000"
"981","LEE011","X.029.LE11","mRECIST","PD"
"982","LEE011","X.029.LE11","best.average.response","52.5821"
"983","LEE011","X.029.LE11","slope","86.7576"
"984","LEE011","X.029.LE11","AUC","491.8104"
"985","LEE011","X.029.LE11","survival","24.0000"
"986","LJM716 + trastuzumab","X.029.LJ16.trab","mRECIST","PD"
"987","LJM716 + trastuzumab","X.029.LJ16.trab","best.average.response","51.1578"
"988","LJM716 + trastuzumab","X.029.LJ16.trab","slope","88.3524"
"989","LJM716 + trastuzumab","X.029.LJ16.trab","AUC","790.4636"
"990","LJM716 + trastuzumab","X.029.LJ16.trab","survival","33.0000"
"991","LLM871","X.029.LL71","mRECIST",NA
"992","LLM871","X.029.LL71","best.average.response","NA"
"993","LLM871","X.029.LL71","slope","89.2805"
"994","LLM871","X.029.LL71","AUC","755.3333"
"995","LLM871","X.029.LL71","survival","12.0000"
"996","trastuzumab","X.029.trab","mRECIST","PD"
"997","trastuzumab","X.029.trab","best.average.response","110.6608"
"998","trastuzumab","X.029.trab","slope","88.5868"
"999","trastuzumab","X.029.trab","AUC","818.9438"
"1000","trastuzumab","X.029.trab","survival","24.0000"
"1001","BGJ398","X.031.BG98","mRECIST","PD"
"1002","BGJ398","X.031.BG98","best.average.response","49.9246"
"1003","BGJ398","X.031.BG98","slope","88.2396"
"1004","BGJ398","X.031.BG98","AUC","777.0152"
"1005","BGJ398","X.031.BG98","survival","33.0000"
"1006","binimetinib","X.031.biib","mRECIST","PD"
"1007","binimetinib","X.031.biib","best.average.response","15.4576"
"1008","binimetinib","X.031.biib","slope","80.2740"
"1009","binimetinib","X.031.biib","AUC","354.9647"
"1010","binimetinib","X.031.biib","survival","68.0000"
"1011","BKM120","X.031.BK20","mRECIST","SD"
"1012","BKM120","X.031.BK20","best.average.response","4.3683"
"1013","BKM120","X.031.BK20","slope","72.0775"
"1014","BKM120","X.031.BK20","AUC","360.7695"
"1015","BKM120","X.031.BK20","survival","95.0000"
"1016","BYL719","X.031.BY19","mRECIST","SD"
"1017","BYL719","X.031.BY19","best.average.response","-10.7734"
"1018","BYL719","X.031.BY19","slope","71.0305"
"1019","BYL719","X.031.BY19","AUC","285.9576"
"1020","BYL719","X.031.BY19","survival","77.0000"
"1021","BYL719 + HSP990","X.031.BY19.HS90","mRECIST","PD"
"1022","BYL719 + HSP990","X.031.BY19.HS90","best.average.response","37.7895"
"1023","BYL719 + HSP990","X.031.BY19.HS90","slope","86.8404"
"1024","BYL719 + HSP990","X.031.BY19.HS90","AUC","624.7720"
"1025","BYL719 + HSP990","X.031.BY19.HS90","survival","41.0000"
"1026","CLR457","X.031.CL57","mRECIST","SD"
"1027","CLR457","X.031.CL57","best.average.response","5.8746"
"1028","CLR457","X.031.CL57","slope","32.1169"
"1029","CLR457","X.031.CL57","AUC","268.4355"
"1030","CLR457","X.031.CL57","survival","63.0000"
"1031","everolimus","X.031.evus","mRECIST","SD"
"1032","everolimus","X.031.evus","best.average.response","18.7125"
"1033","everolimus","X.031.evus","slope","78.0632"
"1034","everolimus","X.031.evus","AUC","369.1655"
"1035","everolimus","X.031.evus","survival","93.0000"
"1036","figitumumab","X.031.fiab","mRECIST","PD"
"1037","figitumumab","X.031.fiab","best.average.response","59.9768"
"1038","figitumumab","X.031.fiab","slope","88.8230"
"1039","figitumumab","X.031.fiab","AUC","787.8717"
"1040","figitumumab","X.031.fiab","survival","23.0000"
"1041","HDM201","X.031.HD01","mRECIST","PD"
"1042","HDM201","X.031.HD01","best.average.response","15.7109"
"1043","HDM201","X.031.HD01","slope","84.7679"
"1044","HDM201","X.031.HD01","AUC","598.5483"
"1045","HDM201","X.031.HD01","survival","64.0000"
"1046","HSP990","X.031.HS90","mRECIST","PD"
"1047","HSP990","X.031.HS90","best.average.response","27.5394"
"1048","HSP990","X.031.HS90","slope","87.3503"
"1049","HSP990","X.031.HS90","AUC","622.0782"
"1050","HSP990","X.031.HS90","survival","39.0000"
"1051","INC280","X.031.IN80","mRECIST","PD"
"1052","INC280","X.031.IN80","best.average.response","10.1459"
"1053","INC280","X.031.IN80","slope","83.4248"
"1054","INC280","X.031.IN80","AUC","456.0836"
"1055","INC280","X.031.IN80","survival","62.0000"
"1056","INC280 + trastuzumab","X.031.IN80.trab","mRECIST",NA
"1057","INC280 + trastuzumab","X.031.IN80.trab","best.average.response","NA"
"1058","INC280 + trastuzumab","X.031.IN80.trab","slope","88.6209"
"1059","INC280 + trastuzumab","X.031.IN80.trab","AUC","506.3679"
"1060","INC280 + trastuzumab","X.031.IN80.trab","survival","14.0000"
"1061","LEE011","X.031.LE11","mRECIST","SD"
"1062","LEE011","X.031.LE11","best.average.response","17.2622"
"1063","LEE011","X.031.LE11","slope","77.8389"
"1064","LEE011","X.031.LE11","AUC","352.6983"
"1065","LEE011","X.031.LE11","survival","95.0000"
"1066","LEE011 + everolimus","X.031.LE11.evus","mRECIST","PD"
"1067","LEE011 + everolimus","X.031.LE11.evus","best.average.response","35.8138"
"1068","LEE011 + everolimus","X.031.LE11.evus","slope","86.0115"
"1069","LEE011 + everolimus","X.031.LE11.evus","AUC","586.5536"
"1070","LEE011 + everolimus","X.031.LE11.evus","survival","42.0000"
"1071","LJM716","X.031.LJ16","mRECIST","SD"
"1072","LJM716","X.031.LJ16","best.average.response","22.5478"
"1073","LJM716","X.031.LJ16","slope","76.2670"
"1074","LJM716","X.031.LJ16","AUC","321.9176"
"1075","LJM716","X.031.LJ16","survival","34.0000"
"1076","LJM716 + trastuzumab","X.031.LJ16.trab","mRECIST","PD"
"1077","LJM716 + trastuzumab","X.031.LJ16.trab","best.average.response","55.0194"
"1078","LJM716 + trastuzumab","X.031.LJ16.trab","slope","87.4752"
"1079","LJM716 + trastuzumab","X.031.LJ16.trab","AUC","543.9261"
"1080","LJM716 + trastuzumab","X.031.LJ16.trab","survival","23.0000"
"1081","LLM871","X.031.LL71","mRECIST","PD"
"1082","LLM871","X.031.LL71","best.average.response","35.1222"
"1083","LLM871","X.031.LL71","slope","87.2043"
"1084","LLM871","X.031.LL71","AUC","665.8577"
"1085","LLM871","X.031.LL71","survival","39.0000"
"1086","trastuzumab","X.031.trab","mRECIST","PD"
"1087","trastuzumab","X.031.trab","best.average.response","12.0602"
"1088","trastuzumab","X.031.trab","slope","86.5739"
"1089","trastuzumab","X.031.trab","AUC","598.5045"
"1090","trastuzumab","X.031.trab","survival","44.0000"
"1091","untreated","X.031.uned","mRECIST","SD"
"1092","untreated","X.031.uned","best.average.response","-0.4928"
"1093","untreated","X.031.uned","slope","59.0159"
"1094","untreated","X.031.uned","AUC","160.9085"
"1095","untreated","X.031.uned","survival","130.0000"
"1096","BGJ398","X.034.BG98","mRECIST","PD"
"1097","BGJ398","X.034.BG98","best.average.response","24.7779"
"1098","BGJ398","X.034.BG98","slope","81.4347"
"1099","BGJ398","X.034.BG98","AUC","417.9891"
"1100","BGJ398","X.034.BG98","survival","32.0000"
"1101","binimetinib","X.034.biib","mRECIST","SD"
"1102","binimetinib","X.034.biib","best.average.response","19.9759"
"1103","binimetinib","X.034.biib","slope","79.6442"
"1104","binimetinib","X.034.biib","AUC","344.7919"
"1105","binimetinib","X.034.biib","survival","37.0000"
"1106","BKM120","X.034.BK20","mRECIST","SD"
"1107","BKM120","X.034.BK20","best.average.response","5.2632"
"1108","BKM120","X.034.BK20","slope","76.6424"
"1109","BKM120","X.034.BK20","AUC","338.5280"
"1110","BKM120","X.034.BK20","survival","90.0000"
"1111","BYL719","X.034.BY19","mRECIST","SD"
"1112","BYL719","X.034.BY19","best.average.response","2.1825"
"1113","BYL719","X.034.BY19","slope","15.7905"
"1114","BYL719","X.034.BY19","AUC","282.2469"
"1115","BYL719","X.034.BY19","survival","32.0000"
"1116","BYL719 + HSP990","X.034.BY19.HS90","mRECIST","SD"
"1117","BYL719 + HSP990","X.034.BY19.HS90","best.average.response","-15.2718"
"1118","BYL719 + HSP990","X.034.BY19.HS90","slope","-59.2919"
"1119","BYL719 + HSP990","X.034.BY19.HS90","AUC","195.9851"
"1120","BYL719 + HSP990","X.034.BY19.HS90","survival","37.0000"
"1121","BYL719 + LJM716","X.034.BY19.LJ16","mRECIST","SD"
"1122","BYL719 + LJM716","X.034.BY19.LJ16","best.average.response","12.0820"
"1123","BYL719 + LJM716","X.034.BY19.LJ16","slope","75.5578"
"1124","BYL719 + LJM716","X.034.BY19.LJ16","AUC","291.8729"
"1125","BYL719 + LJM716","X.034.BY19.LJ16","survival","35.0000"
"1126","CLR457","X.034.CL57","mRECIST","PD"
"1127","CLR457","X.034.CL57","best.average.response","32.5945"
"1128","CLR457","X.034.CL57","slope","82.5237"
"1129","CLR457","X.034.CL57","AUC","427.9800"
"1130","CLR457","X.034.CL57","survival","35.0000"
"1131","everolimus","X.034.evus","mRECIST","SD"
"1132","everolimus","X.034.evus","best.average.response","4.9409"
"1133","everolimus","X.034.evus","slope","36.6262"
"1134","everolimus","X.034.evus","AUC","259.2051"
"1135","everolimus","X.034.evus","survival","266.0000"
"1136","figitumumab","X.034.fiab","mRECIST","SD"
"1137","figitumumab","X.034.fiab","best.average.response","7.4051"
"1138","figitumumab","X.034.fiab","slope","77.9019"
"1139","figitumumab","X.034.fiab","AUC","349.9531"
"1140","figitumumab","X.034.fiab","survival","32.0000"
"1141","HDM201","X.034.HD01","mRECIST","PD"
"1142","HDM201","X.034.HD01","best.average.response","16.0554"
"1143","HDM201","X.034.HD01","slope","80.3956"
"1144","HDM201","X.034.HD01","AUC","321.2156"
"1145","HDM201","X.034.HD01","survival","32.0000"
"1146","HSP990","X.034.HS90","mRECIST","SD"
"1147","HSP990","X.034.HS90","best.average.response","7.1901"
"1148","HSP990","X.034.HS90","slope","77.9895"
"1149","HSP990","X.034.HS90","AUC","385.4425"
"1150","HSP990","X.034.HS90","survival","91.0000"
"1151","INC280","X.034.IN80","mRECIST","PD"
"1152","INC280","X.034.IN80","best.average.response","10.9144"
"1153","INC280","X.034.IN80","slope","84.4174"
"1154","INC280","X.034.IN80","AUC","403.8776"
"1155","INC280","X.034.IN80","survival","29.0000"
"1156","INC280 + trastuzumab","X.034.IN80.trab","mRECIST","SD"
"1157","INC280 + trastuzumab","X.034.IN80.trab","best.average.response","9.4262"
"1158","INC280 + trastuzumab","X.034.IN80.trab","slope","73.4584"
"1159","INC280 + trastuzumab","X.034.IN80.trab","AUC","279.6486"
"1160","INC280 + trastuzumab","X.034.IN80.trab","survival","35.0000"
"1161","LEE011","X.034.LE11","mRECIST","SD"
"1162","LEE011","X.034.LE11","best.average.response","-0.9264"
"1163","LEE011","X.034.LE11","slope","59.5303"
"1164","LEE011","X.034.LE11","AUC","240.9688"
"1165","LEE011","X.034.LE11","survival","32.0000"
"1166","LEE011 + everolimus","X.034.LE11.evus","mRECIST","SD"
"1167","LEE011 + everolimus","X.034.LE11.evus","best.average.response","-12.8791"
"1168","LEE011 + everolimus","X.034.LE11.evus","slope","-66.0575"
"1169","LEE011 + everolimus","X.034.LE11.evus","AUC","217.6324"
"1170","LEE011 + everolimus","X.034.LE11.evus","survival","34.0000"
"1171","LJM716","X.034.LJ16","mRECIST","SD"
"1172","LJM716","X.034.LJ16","best.average.response","5.3926"
"1173","LJM716","X.034.LJ16","slope","84.2898"
"1174","LJM716","X.034.LJ16","AUC","354.1810"
"1175","LJM716","X.034.LJ16","survival","29.0000"
"1176","LJM716 + trastuzumab","X.034.LJ16.trab","mRECIST","PD"
"1177","LJM716 + trastuzumab","X.034.LJ16.trab","best.average.response","23.4140"
"1178","LJM716 + trastuzumab","X.034.LJ16.trab","slope","82.4860"
"1179","LJM716 + trastuzumab","X.034.LJ16.trab","AUC","342.8786"
"1180","LJM716 + trastuzumab","X.034.LJ16.trab","survival","35.0000"
"1181","LLM871","X.034.LL71","mRECIST","SD"
"1182","LLM871","X.034.LL71","best.average.response","-2.1940"
"1183","LLM871","X.034.LL71","slope","84.5292"
"1184","LLM871","X.034.LL71","AUC","353.5141"
"1185","LLM871","X.034.LL71","survival","32.0000"
"1186","trastuzumab","X.034.trab","mRECIST","SD"
"1187","trastuzumab","X.034.trab","best.average.response","9.9866"
"1188","trastuzumab","X.034.trab","slope","85.5938"
"1189","trastuzumab","X.034.trab","AUC","402.8188"
"1190","trastuzumab","X.034.trab","survival","32.0000"
"1191","BGJ398","X.035.BG98","mRECIST","PD"
"1192","BGJ398","X.035.BG98","best.average.response","29.7687"
"1193","BGJ398","X.035.BG98","slope","88.1304"
"1194","BGJ398","X.035.BG98","AUC","705.0145"
"1195","BGJ398","X.035.BG98","survival","31.0000"
"1196","binimetinib","X.035.biib","mRECIST","PD"
"1197","binimetinib","X.035.biib","best.average.response","31.9465"
"1198","binimetinib","X.035.biib","slope","76.7814"
"1199","binimetinib","X.035.biib","AUC","285.5333"
"1200","binimetinib","X.035.biib","survival","30.0000"
"1201","BKM120","X.035.BK20","mRECIST","SD"
"1202","BKM120","X.035.BK20","best.average.response","3.5294"
"1203","BKM120","X.035.BK20","slope","32.0082"
"1204","BKM120","X.035.BK20","AUC","248.9293"
"1205","BKM120","X.035.BK20","survival","62.0000"
"1206","BYL719","X.035.BY19","mRECIST","PR"
"1207","BYL719","X.035.BY19","best.average.response","-29.9345"
"1208","BYL719","X.035.BY19","slope","-72.2132"
"1209","BYL719","X.035.BY19","AUC","178.1966"
"1210","BYL719","X.035.BY19","survival","156.0000"
"1211","BYL719 + HSP990","X.035.BY19.HS90","mRECIST","PD"
"1212","BYL719 + HSP990","X.035.BY19.HS90","best.average.response","37.5980"
"1213","BYL719 + HSP990","X.035.BY19.HS90","slope","81.5254"
"1214","BYL719 + HSP990","X.035.BY19.HS90","AUC","436.8432"
"1215","BYL719 + HSP990","X.035.BY19.HS90","survival","63.0000"
"1216","BYL719 + LJM716","X.035.BY19.LJ16","mRECIST","PR"
"1217","BYL719 + LJM716","X.035.BY19.LJ16","best.average.response","-60.2880"
"1218","BYL719 + LJM716","X.035.BY19.LJ16","slope","-78.8099"
"1219","BYL719 + LJM716","X.035.BY19.LJ16","AUC","119.9153"
"1220","BYL719 + LJM716","X.035.BY19.LJ16","survival","66.0000"
"1221","everolimus","X.035.evus","mRECIST","PR"
"1222","everolimus","X.035.evus","best.average.response","-45.2259"
"1223","everolimus","X.035.evus","slope","-70.3265"
"1224","everolimus","X.035.evus","AUC","117.1474"
"1225","everolimus","X.035.evus","survival","148.0000"
"1226","figitumumab","X.035.fiab","mRECIST","PD"
"1227","figitumumab","X.035.fiab","best.average.response","36.8447"
"1228","figitumumab","X.035.fiab","slope","88.6091"
"1229","figitumumab","X.035.fiab","AUC","685.9667"
"1230","figitumumab","X.035.fiab","survival","24.0000"
"1231","HDM201","X.035.HD01","mRECIST","PD"
"1232","HDM201","X.035.HD01","best.average.response","35.0841"
"1233","HDM201","X.035.HD01","slope","85.2830"
"1234","HDM201","X.035.HD01","AUC","437.2176"
"1235","HDM201","X.035.HD01","survival","34.0000"
"1236","HSP990","X.035.HS90","mRECIST","SD"
"1237","HSP990","X.035.HS90","best.average.response","-4.6763"
"1238","HSP990","X.035.HS90","slope","74.4540"
"1239","HSP990","X.035.HS90","AUC","280.1429"
"1240","HSP990","X.035.HS90","survival","28.0000"
"1241","INC280 + trastuzumab","X.035.IN80.trab","mRECIST","CR"
"1242","INC280 + trastuzumab","X.035.IN80.trab","best.average.response","-66.8937"
"1243","INC280 + trastuzumab","X.035.IN80.trab","slope","-78.3013"
"1244","INC280 + trastuzumab","X.035.IN80.trab","AUC","69.5807"
"1245","INC280 + trastuzumab","X.035.IN80.trab","survival","97.0000"
"1246","LEE011","X.035.LE11","mRECIST","PR"
"1247","LEE011","X.035.LE11","best.average.response","-30.7051"
"1248","LEE011","X.035.LE11","slope","-73.8209"
"1249","LEE011","X.035.LE11","AUC","176.8422"
"1250","LEE011","X.035.LE11","survival","330.0000"
"1251","LEE011 + everolimus","X.035.LE11.evus","mRECIST","PR"
"1252","LEE011 + everolimus","X.035.LE11.evus","best.average.response","-69.2920"
"1253","LEE011 + everolimus","X.035.LE11.evus","slope","-77.1989"
"1254","LEE011 + everolimus","X.035.LE11.evus","AUC","58.4655"
"1255","LEE011 + everolimus","X.035.LE11.evus","survival","97.0000"
"1256","LJM716","X.035.LJ16","mRECIST","SD"
"1257","LJM716","X.035.LJ16","best.average.response","13.2359"
"1258","LJM716","X.035.LJ16","slope","65.8334"
"1259","LJM716","X.035.LJ16","AUC","302.1286"
"1260","LJM716","X.035.LJ16","survival","42.0000"
"1261","LJM716 + trastuzumab","X.035.LJ16.trab","mRECIST","SD"
"1262","LJM716 + trastuzumab","X.035.LJ16.trab","best.average.response","-3.7448"
"1263","LJM716 + trastuzumab","X.035.LJ16.trab","slope","74.4275"
"1264","LJM716 + trastuzumab","X.035.LJ16.trab","AUC","288.9242"
"1265","LJM716 + trastuzumab","X.035.LJ16.trab","survival","31.0000"
"1266","LLM871","X.035.LL71","mRECIST","PD"
"1267","LLM871","X.035.LL71","best.average.response","31.1679"
"1268","LLM871","X.035.LL71","slope","85.6422"
"1269","LLM871","X.035.LL71","AUC","479.9333"
"1270","LLM871","X.035.LL71","survival","33.0000"
"1271","trastuzumab","X.035.trab","mRECIST","SD"
"1272","trastuzumab","X.035.trab","best.average.response","28.2277"
"1273","trastuzumab","X.035.trab","slope","-13.0363"
"1274","trastuzumab","X.035.trab","AUC","316.6975"
"1275","trastuzumab","X.035.trab","survival","220.0000"
"1276","BGJ398","X.037.BG98","mRECIST","SD"
"1277","BGJ398","X.037.BG98","best.average.response","13.1479"
"1278","BGJ398","X.037.BG98","slope","85.2880"
"1279","BGJ398","X.037.BG98","AUC","601.4431"
"1280","BGJ398","X.037.BG98","survival","58.0000"
"1281","binimetinib","X.037.biib","mRECIST","PD"
"1282","binimetinib","X.037.biib","best.average.response","47.5179"
"1283","binimetinib","X.037.biib","slope","77.9878"
"1284","binimetinib","X.037.biib","AUC","436.4902"
"1285","binimetinib","X.037.biib","survival","56.0000"
"1286","BKM120","X.037.BK20","mRECIST","PD"
"1287","BKM120","X.037.BK20","best.average.response","41.8373"
"1288","BKM120","X.037.BK20","slope","69.6509"
"1289","BKM120","X.037.BK20","AUC","437.6805"
"1290","BKM120","X.037.BK20","survival","201.0000"
"1291","BYL719","X.037.BY19","mRECIST","SD"
"1292","BYL719","X.037.BY19","best.average.response","14.8877"
"1293","BYL719","X.037.BY19","slope","61.4496"
"1294","BYL719","X.037.BY19","AUC","381.8629"
"1295","BYL719","X.037.BY19","survival","122.0000"
"1296","BYL719 + HSP990","X.037.BY19.HS90","mRECIST","PD"
"1297","BYL719 + HSP990","X.037.BY19.HS90","best.average.response","16.6322"
"1298","BYL719 + HSP990","X.037.BY19.HS90","slope","84.7912"
"1299","BYL719 + HSP990","X.037.BY19.HS90","AUC","486.4810"
"1300","BYL719 + HSP990","X.037.BY19.HS90","survival","42.0000"
"1301","CLR457","X.037.CL57","mRECIST","PD"
"1302","CLR457","X.037.CL57","best.average.response","34.9394"
"1303","CLR457","X.037.CL57","slope","86.8588"
"1304","CLR457","X.037.CL57","AUC","476.7032"
"1305","CLR457","X.037.CL57","survival","31.0000"
"1306","everolimus","X.037.evus","mRECIST","PD"
"1307","everolimus","X.037.evus","best.average.response","20.7004"
"1308","everolimus","X.037.evus","slope","81.8046"
"1309","everolimus","X.037.evus","AUC","447.1136"
"1310","everolimus","X.037.evus","survival","85.0000"
"1311","figitumumab","X.037.fiab","mRECIST","PD"
"1312","figitumumab","X.037.fiab","best.average.response","38.5244"
"1313","figitumumab","X.037.fiab","slope","87.6373"
"1314","figitumumab","X.037.fiab","AUC","775.2849"
"1315","figitumumab","X.037.fiab","survival","43.0000"
"1316","HDM201","X.037.HD01","mRECIST","PD"
"1317","HDM201","X.037.HD01","best.average.response","32.1476"
"1318","HDM201","X.037.HD01","slope","86.9857"
"1319","HDM201","X.037.HD01","AUC","578.5791"
"1320","HDM201","X.037.HD01","survival","43.0000"
"1321","HSP990","X.037.HS90","mRECIST","PD"
"1322","HSP990","X.037.HS90","best.average.response","33.1442"
"1323","HSP990","X.037.HS90","slope","86.9047"
"1324","HSP990","X.037.HS90","AUC","672.4311"
"1325","HSP990","X.037.HS90","survival","53.0000"
"1326","INC280","X.037.IN80","mRECIST","PD"
"1327","INC280","X.037.IN80","best.average.response","39.9719"
"1328","INC280","X.037.IN80","slope","50.7426"
"1329","INC280","X.037.IN80","AUC","313.1625"
"1330","INC280","X.037.IN80","survival","73.0000"
"1331","INC280 + trastuzumab","X.037.IN80.trab","mRECIST","PD"
"1332","INC280 + trastuzumab","X.037.IN80.trab","best.average.response","86.4650"
"1333","INC280 + trastuzumab","X.037.IN80.trab","slope","88.4917"
"1334","INC280 + trastuzumab","X.037.IN80.trab","AUC","714.7783"
"1335","INC280 + trastuzumab","X.037.IN80.trab","survival","23.0000"
"1336","LEE011","X.037.LE11","mRECIST","SD"
"1337","LEE011","X.037.LE11","best.average.response","7.2103"
"1338","LEE011","X.037.LE11","slope","72.3382"
"1339","LEE011","X.037.LE11","AUC","321.0457"
"1340","LEE011","X.037.LE11","survival","122.0000"
"1341","LEE011 + everolimus","X.037.LE11.evus","mRECIST","PR"
"1342","LEE011 + everolimus","X.037.LE11.evus","best.average.response","-29.4318"
"1343","LEE011 + everolimus","X.037.LE11.evus","slope","-70.5681"
"1344","LEE011 + everolimus","X.037.LE11.evus","AUC","169.3308"
"1345","LEE011 + everolimus","X.037.LE11.evus","survival","60.0000"
"1346","LJM716","X.037.LJ16","mRECIST","PD"
"1347","LJM716","X.037.LJ16","best.average.response","73.5089"
"1348","LJM716","X.037.LJ16","slope","88.4674"
"1349","LJM716","X.037.LJ16","AUC","729.9500"
"1350","LJM716","X.037.LJ16","survival","23.0000"
"1351","LJM716 + trastuzumab","X.037.LJ16.trab","mRECIST","PD"
"1352","LJM716 + trastuzumab","X.037.LJ16.trab","best.average.response","45.9396"
"1353","LJM716 + trastuzumab","X.037.LJ16.trab","slope","87.3964"
"1354","LJM716 + trastuzumab","X.037.LJ16.trab","AUC","515.5913"
"1355","LJM716 + trastuzumab","X.037.LJ16.trab","survival","23.0000"
"1356","LLM871","X.037.LL71","mRECIST","PD"
"1357","LLM871","X.037.LL71","best.average.response","32.3867"
"1358","LLM871","X.037.LL71","slope","25.8849"
"1359","LLM871","X.037.LL71","AUC","361.0483"
"1360","LLM871","X.037.LL71","survival","151.0000"
"1361","trastuzumab","X.037.trab","mRECIST","PD"
"1362","trastuzumab","X.037.trab","best.average.response","56.9738"
"1363","trastuzumab","X.037.trab","slope","88.2222"
