model_id,tissue_id,tissue,patient_id,drug,tested,dataset
X.2861.CK20,CRC,Colorectal Cancer,X-2861,CKX620,TRUE,2
X.2861.CL57,CRC,Colorectal Cancer,X-2861,CLR457,TRUE,2
X.2861.enib,CRC,Colorectal Cancer,X-2861,encorafenib,TRUE,2
X.2861.HD01,CRC,Colorectal Cancer,X-2861,HDM201,TRUE,2
X.2861.LE11,CRC,Colorectal Cancer,X-2861,LEE011,TRUE,2
X.2861.LF27.biib,CRC,Colorectal Cancer,X-2861,LFW527 + binimetinib,TRUE,2
X.2861.LJ49,CRC,Colorectal Cancer,X-2861,LJC049,TRUE,2
X.2861.LK36,CRC,Colorectal Cancer,X-2861,LKA136,TRUE,2
X.2861.uned,CRC,Colorectal Cancer,X-2861,untreated,TRUE,2
X.3093.5FFU,CRC,Colorectal Cancer,X-3093,5FU,TRUE,2
X.3093.biib,CRC,Colorectal Cancer,X-3093,binimetinib,TRUE,2
X.3093.BK20,CRC,Colorectal Cancer,X-3093,BKM120,TRUE,2
X.3093.BK20.LJ49,CRC,Colorectal Cancer,X-3093,BKM120 + LJC049,TRUE,2
X.3093.BY19,CRC,Colorectal Cancer,X-3093,BYL719,TRUE,2
X.3093.BY19.biib,CRC,Colorectal Cancer,X-3093,BYL719 + binimetinib,TRUE,2
X.3093.BY19.ceab,CRC,Colorectal Cancer,X-3093,BYL719 + cetuximab,TRUE,2
X.3093.BY19.ceab.enib,CRC,Colorectal Cancer,X-3093,BYL719 + cetuximab + encorafenib,TRUE,2
X.3093.BY19.enib,CRC,Colorectal Cancer,X-3093,BYL719 + encorafenib,TRUE,2
X.3093.BY19.LJ16,CRC,Colorectal Cancer,X-3093,BYL719 + LJM716,TRUE,2
X.3093.ceab,CRC,Colorectal Cancer,X-3093,cetuximab,TRUE,2
X.3093.ceab.enib,CRC,Colorectal Cancer,X-3093,cetuximab + encorafenib,TRUE,2
X.3093.CG97,CRC,Colorectal Cancer,X-3093,CGM097,TRUE,2
X.3093.CK20,CRC,Colorectal Cancer,X-3093,CKX620,TRUE,2
X.3093.CL57,CRC,Colorectal Cancer,X-3093,CLR457,TRUE,2
X.3093.enib,CRC,Colorectal Cancer,X-3093,encorafenib,TRUE,2
X.3093.HD01,CRC,Colorectal Cancer,X-3093,HDM201,TRUE,2
X.3093.LE11,CRC,Colorectal Cancer,X-3093,LEE011,TRUE,2
X.3093.LJ49,CRC,Colorectal Cancer,X-3093,LJC049,TRUE,2
X.3093.LK36,CRC,Colorectal Cancer,X-3093,LKA136,TRUE,2
X.3093.uned,CRC,Colorectal Cancer,X-3093,untreated,TRUE,2
X.3205.5FFU,CRC,Colorectal Cancer,X-3205,5FU,TRUE,2
X.3205.biib,CRC,Colorectal Cancer,X-3205,binimetinib,TRUE,2
X.3205.BK20,CRC,Colorectal Cancer,X-3205,BKM120,TRUE,2
X.3205.BK20.LJ49,CRC,Colorectal Cancer,X-3205,BKM120 + LJC049,TRUE,2
X.3205.BY19,CRC,Colorectal Cancer,X-3205,BYL719,TRUE,2
X.3205.BY19.biib,CRC,Colorectal Cancer,X-3205,BYL719 + binimetinib,TRUE,2
X.3205.BY19.ceab,CRC,Colorectal Cancer,X-3205,BYL719 + cetuximab,TRUE,2
X.3205.BY19.ceab.enib,CRC,Colorectal Cancer,X-3205,BYL719 + cetuximab + encorafenib,TRUE,2
X.3205.BY19.enib,CRC,Colorectal Cancer,X-3205,BYL719 + encorafenib,TRUE,2
X.3205.BY19.LJ16,CRC,Colorectal Cancer,X-3205,BYL719 + LJM716,TRUE,2
X.3205.ceab,CRC,Colorectal Cancer,X-3205,cetuximab,TRUE,2
X.3205.ceab.enib,CRC,Colorectal Cancer,X-3205,cetuximab + encorafenib,TRUE,2
X.3205.CG97,CRC,Colorectal Cancer,X-3205,CGM097,TRUE,2
X.3205.CK20,CRC,Colorectal Cancer,X-3205,CKX620,TRUE,2
X.3205.CL57,CRC,Colorectal Cancer,X-3205,CLR457,TRUE,2
X.3205.enib,CRC,Colorectal Cancer,X-3205,encorafenib,TRUE,2
X.3205.HD01,CRC,Colorectal Cancer,X-3205,HDM201,TRUE,2
X.3205.LE11,CRC,Colorectal Cancer,X-3205,LEE011,TRUE,2
X.3205.LF27.biib,CRC,Colorectal Cancer,X-3205,LFW527 + binimetinib,TRUE,2
X.3205.LJ49,CRC,Colorectal Cancer,X-3205,LJC049,TRUE,2
X.3205.LK36,CRC,Colorectal Cancer,X-3205,LKA136,TRUE,2
X.3205.uned,CRC,Colorectal Cancer,X-3205,untreated,TRUE,2
X.3224.5FFU,CRC,Colorectal Cancer,X-3224,5FU,TRUE,2
X.3224.biib,CRC,Colorectal Cancer,X-3224,binimetinib,TRUE,2
X.3224.BK20,CRC,Colorectal Cancer,X-3224,BKM120,TRUE,2
X.3224.BK20.LJ49,CRC,Colorectal Cancer,X-3224,BKM120 + LJC049,TRUE,2
X.3224.BY19,CRC,Colorectal Cancer,X-3224,BYL719,TRUE,2
X.3224.BY19.biib,CRC,Colorectal Cancer,X-3224,BYL719 + binimetinib,TRUE,2
X.3224.BY19.ceab,CRC,Colorectal Cancer,X-3224,BYL719 + cetuximab,TRUE,2
X.3224.BY19.ceab.enib,CRC,Colorectal Cancer,X-3224,BYL719 + cetuximab + encorafenib,TRUE,2
X.3224.BY19.enib,CRC,Colorectal Cancer,X-3224,BYL719 + encorafenib,TRUE,2
X.3224.BY19.LJ16,CRC,Colorectal Cancer,X-3224,BYL719 + LJM716,TRUE,2
X.3224.ceab,CRC,Colorectal Cancer,X-3224,cetuximab,TRUE,2
X.3224.ceab.enib,CRC,Colorectal Cancer,X-3224,cetuximab + encorafenib,TRUE,2
X.3224.CG97,CRC,Colorectal Cancer,X-3224,CGM097,TRUE,2
X.3224.CK20,CRC,Colorectal Cancer,X-3224,CKX620,TRUE,2
X.3224.CL57,CRC,Colorectal Cancer,X-3224,CLR457,TRUE,2
X.3224.enib,CRC,Colorectal Cancer,X-3224,encorafenib,TRUE,2
X.3224.HD01,CRC,Colorectal Cancer,X-3224,HDM201,TRUE,2
X.3224.LE11,CRC,Colorectal Cancer,X-3224,LEE011,TRUE,2
X.3224.LJ49,CRC,Colorectal Cancer,X-3224,LJC049,TRUE,2
X.3224.LK36,CRC,Colorectal Cancer,X-3224,LKA136,TRUE,2
X.3224.uned,CRC,Colorectal Cancer,X-3224,untreated,TRUE,2
X.3267.5FFU,CRC,Colorectal Cancer,X-3267,5FU,TRUE,2
X.3267.biib,CRC,Colorectal Cancer,X-3267,binimetinib,TRUE,2
X.3267.BK20,CRC,Colorectal Cancer,X-3267,BKM120,TRUE,2
X.3267.BK20.LJ49,CRC,Colorectal Cancer,X-3267,BKM120 + LJC049,TRUE,2
X.3267.BY19,CRC,Colorectal Cancer,X-3267,BYL719,TRUE,2
X.3267.BY19.biib,CRC,Colorectal Cancer,X-3267,BYL719 + binimetinib,TRUE,2
X.3267.BY19.ceab,CRC,Colorectal Cancer,X-3267,BYL719 + cetuximab,TRUE,2
X.3267.BY19.ceab.enib,CRC,Colorectal Cancer,X-3267,BYL719 + cetuximab + encorafenib,TRUE,2
X.3267.BY19.enib,CRC,Colorectal Cancer,X-3267,BYL719 + encorafenib,TRUE,2
X.3267.BY19.LJ16,CRC,Colorectal Cancer,X-3267,BYL719 + LJM716,TRUE,2
X.3267.ceab,CRC,Colorectal Cancer,X-3267,cetuximab,TRUE,2
X.3267.ceab.enib,CRC,Colorectal Cancer,X-3267,cetuximab + encorafenib,TRUE,2
X.3267.CG97,CRC,Colorectal Cancer,X-3267,CGM097,TRUE,2
X.3267.CK20,CRC,Colorectal Cancer,X-3267,CKX620,TRUE,2
X.3267.CL57,CRC,Colorectal Cancer,X-3267,CLR457,TRUE,2
X.3267.enib,CRC,Colorectal Cancer,X-3267,encorafenib,TRUE,2
X.3267.HD01,CRC,Colorectal Cancer,X-3267,HDM201,TRUE,2
X.3267.LE11,CRC,Colorectal Cancer,X-3267,LEE011,TRUE,2
X.3267.LJ49,CRC,Colorectal Cancer,X-3267,LJC049,TRUE,2
X.3267.LK36,CRC,Colorectal Cancer,X-3267,LKA136,TRUE,2
X.3267.uned,CRC,Colorectal Cancer,X-3267,untreated,TRUE,2
X.3671.5FFU,CRC,Colorectal Cancer,X-3671,5FU,TRUE,2
X.3671.biib,CRC,Colorectal Cancer,X-3671,binimetinib,TRUE,2
X.3671.ceab,CRC,Colorectal Cancer,X-3671,cetuximab,TRUE,2
X.3671.uned,CRC,Colorectal Cancer,X-3671,untreated,TRUE,2
X.3684.LF27.biib,CRC,Colorectal Cancer,X-3684,LFW527 + binimetinib,TRUE,2
X.3792.5FFU,CRC,Colorectal Cancer,X-3792,5FU,TRUE,2
X.3792.biib,CRC,Colorectal Cancer,X-3792,binimetinib,TRUE,2
X.3792.BK20,CRC,Colorectal Cancer,X-3792,BKM120,TRUE,2
X.3792.BK20.LJ49,CRC,Colorectal Cancer,X-3792,BKM120 + LJC049,TRUE,2
X.3792.BY19,CRC,Colorectal Cancer,X-3792,BYL719,TRUE,2
X.3792.BY19.biib,CRC,Colorectal Cancer,X-3792,BYL719 + binimetinib,TRUE,2
X.3792.BY19.ceab,CRC,Colorectal Cancer,X-3792,BYL719 + cetuximab,TRUE,2
X.3792.BY19.ceab.enib,CRC,Colorectal Cancer,X-3792,BYL719 + cetuximab + encorafenib,TRUE,2
X.3792.BY19.enib,CRC,Colorectal Cancer,X-3792,BYL719 + encorafenib,TRUE,2
X.3792.BY19.LJ16,CRC,Colorectal Cancer,X-3792,BYL719 + LJM716,TRUE,2
X.3792.ceab,CRC,Colorectal Cancer,X-3792,cetuximab,TRUE,2
X.3792.ceab.enib,CRC,Colorectal Cancer,X-3792,cetuximab + encorafenib,TRUE,2
X.3792.CG97,CRC,Colorectal Cancer,X-3792,CGM097,TRUE,2
X.3792.CK20,CRC,Colorectal Cancer,X-3792,CKX620,TRUE,2
X.3792.CL57,CRC,Colorectal Cancer,X-3792,CLR457,TRUE,2
X.3792.enib,CRC,Colorectal Cancer,X-3792,encorafenib,TRUE,2
X.3792.HD01,CRC,Colorectal Cancer,X-3792,HDM201,TRUE,2
X.3792.LE11,CRC,Colorectal Cancer,X-3792,LEE011,TRUE,2
X.3792.LF27.biib,CRC,Colorectal Cancer,X-3792,LFW527 + binimetinib,TRUE,2
X.3792.LJ49,CRC,Colorectal Cancer,X-3792,LJC049,TRUE,2
X.3792.LK36,CRC,Colorectal Cancer,X-3792,LKA136,TRUE,2
X.3792.uned,CRC,Colorectal Cancer,X-3792,untreated,TRUE,2
X.4087.5FFU,CRC,Colorectal Cancer,X-4087,5FU,TRUE,2
X.4087.biib,CRC,Colorectal Cancer,X-4087,binimetinib,TRUE,2
X.4087.BK20,CRC,Colorectal Cancer,X-4087,BKM120,TRUE,2
X.4087.BK20.LJ49,CRC,Colorectal Cancer,X-4087,BKM120 + LJC049,TRUE,2
X.4087.BY19,CRC,Colorectal Cancer,X-4087,BYL719,TRUE,2
X.4087.BY19.biib,CRC,Colorectal Cancer,X-4087,BYL719 + binimetinib,TRUE,2
X.4087.BY19.ceab,CRC,Colorectal Cancer,X-4087,BYL719 + cetuximab,TRUE,2
X.4087.BY19.ceab.enib,CRC,Colorectal Cancer,X-4087,BYL719 + cetuximab + encorafenib,TRUE,2
X.4087.BY19.enib,CRC,Colorectal Cancer,X-4087,BYL719 + encorafenib,TRUE,2
X.4087.BY19.LJ16,CRC,Colorectal Cancer,X-4087,BYL719 + LJM716,TRUE,2
X.4087.ceab,CRC,Colorectal Cancer,X-4087,cetuximab,TRUE,2
X.4087.ceab.enib,CRC,Colorectal Cancer,X-4087,cetuximab + encorafenib,TRUE,2
X.4087.CG97,CRC,Colorectal Cancer,X-4087,CGM097,TRUE,2
X.4087.CK20,CRC,Colorectal Cancer,X-4087,CKX620,TRUE,2
X.4087.CL57,CRC,Colorectal Cancer,X-4087,CLR457,TRUE,2
X.4087.enib,CRC,Colorectal Cancer,X-4087,encorafenib,TRUE,2
X.4087.HD01,CRC,Colorectal Cancer,X-4087,HDM201,TRUE,2
X.4087.LE11,CRC,Colorectal Cancer,X-4087,LEE011,TRUE,2
X.4087.LF27.biib,CRC,Colorectal Cancer,X-4087,LFW527 + binimetinib,TRUE,2
X.4087.LJ49,CRC,Colorectal Cancer,X-4087,LJC049,TRUE,2
X.4087.LK36,CRC,Colorectal Cancer,X-4087,LKA136,TRUE,2
X.4087.uned,CRC,Colorectal Cancer,X-4087,untreated,TRUE,2
X.4145.abne,CRC,Colorectal Cancer,X-4145,abraxane,TRUE,2
X.4145.biib,CRC,Colorectal Cancer,X-4145,binimetinib,TRUE,2
X.4145.bipk,CRC,Colorectal Cancer,X-4145,binimetinib-3.5mpk,TRUE,2
X.4145.BK20,CRC,Colorectal Cancer,X-4145,BKM120,TRUE,2
X.4145.BK20.biib,CRC,Colorectal Cancer,X-4145,BKM120 + binimetinib,TRUE,2
X.4145.BK20.LD25,CRC,Colorectal Cancer,X-4145,BKM120 + LDE225,TRUE,2
X.4145.BY19,CRC,Colorectal Cancer,X-4145,BYL719,TRUE,2
X.4145.BY19.LJ16,CRC,Colorectal Cancer,X-4145,BYL719 + LJM716,TRUE,2
X.4145.CL57,CRC,Colorectal Cancer,X-4145,CLR457,TRUE,2
X.4145.fiab,CRC,Colorectal Cancer,X-4145,figitumumab,TRUE,2
X.4145.fiab.biib,CRC,Colorectal Cancer,X-4145,figitumumab + binimetinib,TRUE,2
X.4145.gepk,CRC,Colorectal Cancer,X-4145,gemcitabine-50mpk,TRUE,2
X.4145.HD01,CRC,Colorectal Cancer,X-4145,HDM201,TRUE,2
X.4145.IN24,CRC,Colorectal Cancer,X-4145,INC424,TRUE,2
X.4145.IN24.biib,CRC,Colorectal Cancer,X-4145,INC424 + binimetinib,TRUE,2
X.4145.LE11,CRC,Colorectal Cancer,X-4145,LEE011,TRUE,2
X.4145.LK36,CRC,Colorectal Cancer,X-4145,LKA136,TRUE,2
X.4145.trib,CRC,Colorectal Cancer,X-4145,trametinib,TRUE,2
X.4145.uned,CRC,Colorectal Cancer,X-4145,untreated,TRUE,2
X.4145.WN74,CRC,Colorectal Cancer,X-4145,WNT974,TRUE,2
X.5238.LF27.biib,CRC,Colorectal Cancer,X-5238,LFW527 + binimetinib,TRUE,2
X.5254.5FFU,CRC,Colorectal Cancer,X-5254,5FU,TRUE,2
X.5254.biib,CRC,Colorectal Cancer,X-5254,binimetinib,TRUE,2
X.5254.BK20,CRC,Colorectal Cancer,X-5254,BKM120,TRUE,2
X.5254.BK20.LJ49,CRC,Colorectal Cancer,X-5254,BKM120 + LJC049,TRUE,2
X.5254.BY19,CRC,Colorectal Cancer,X-5254,BYL719,TRUE,2
X.5254.BY19.biib,CRC,Colorectal Cancer,X-5254,BYL719 + binimetinib,TRUE,2
X.5254.BY19.ceab,CRC,Colorectal Cancer,X-5254,BYL719 + cetuximab,TRUE,2
X.5254.BY19.ceab.enib,CRC,Colorectal Cancer,X-5254,BYL719 + cetuximab + encorafenib,TRUE,2
X.5254.BY19.enib,CRC,Colorectal Cancer,X-5254,BYL719 + encorafenib,TRUE,2
X.5254.BY19.LJ16,CRC,Colorectal Cancer,X-5254,BYL719 + LJM716,TRUE,2
X.5254.ceab,CRC,Colorectal Cancer,X-5254,cetuximab,TRUE,2
X.5254.ceab.enib,CRC,Colorectal Cancer,X-5254,cetuximab + encorafenib,TRUE,2
X.5254.CG97,CRC,Colorectal Cancer,X-5254,CGM097,TRUE,2
X.5254.CK20,CRC,Colorectal Cancer,X-5254,CKX620,TRUE,2
X.5254.CL57,CRC,Colorectal Cancer,X-5254,CLR457,TRUE,2
X.5254.enib,CRC,Colorectal Cancer,X-5254,encorafenib,TRUE,2
X.5254.HD01,CRC,Colorectal Cancer,X-5254,HDM201,TRUE,2
X.5254.LE11,CRC,Colorectal Cancer,X-5254,LEE011,TRUE,2
X.5254.LF27.biib,CRC,Colorectal Cancer,X-5254,LFW527 + binimetinib,TRUE,2
X.5254.LJ49,CRC,Colorectal Cancer,X-5254,LJC049,TRUE,2
X.5254.LK36,CRC,Colorectal Cancer,X-5254,LKA136,TRUE,2
X.5254.uned,CRC,Colorectal Cancer,X-5254,untreated,TRUE,2
X.5405.5FFU,CRC,Colorectal Cancer,X-5405,5FU,TRUE,2
X.5405.biib,CRC,Colorectal Cancer,X-5405,binimetinib,TRUE,2
X.5405.BK20,CRC,Colorectal Cancer,X-5405,BKM120,TRUE,2
X.5405.BK20.LJ49,CRC,Colorectal Cancer,X-5405,BKM120 + LJC049,TRUE,2
X.5405.BY19,CRC,Colorectal Cancer,X-5405,BYL719,TRUE,2
X.5405.BY19.biib,CRC,Colorectal Cancer,X-5405,BYL719 + binimetinib,TRUE,2
X.5405.BY19.ceab,CRC,Colorectal Cancer,X-5405,BYL719 + cetuximab,TRUE,2
X.5405.BY19.ceab.enib,CRC,Colorectal Cancer,X-5405,BYL719 + cetuximab + encorafenib,TRUE,2
X.5405.BY19.enib,CRC,Colorectal Cancer,X-5405,BYL719 + encorafenib,TRUE,2
X.5405.BY19.LJ16,CRC,Colorectal Cancer,X-5405,BYL719 + LJM716,TRUE,2
X.5405.ceab,CRC,Colorectal Cancer,X-5405,cetuximab,TRUE,2
X.5405.ceab.enib,CRC,Colorectal Cancer,X-5405,cetuximab + encorafenib,TRUE,2
X.5405.CG97,CRC,Colorectal Cancer,X-5405,CGM097,TRUE,2
X.5405.CK20,CRC,Colorectal Cancer,X-5405,CKX620,TRUE,2
X.5405.CL57,CRC,Colorectal Cancer,X-5405,CLR457,TRUE,2
X.5405.enib,CRC,Colorectal Cancer,X-5405,encorafenib,TRUE,2
X.5405.HD01,CRC,Colorectal Cancer,X-5405,HDM201,TRUE,2
X.5405.LE11,CRC,Colorectal Cancer,X-5405,LEE011,TRUE,2
X.5405.LJ49,CRC,Colorectal Cancer,X-5405,LJC049,TRUE,2
X.5405.LK36,CRC,Colorectal Cancer,X-5405,LKA136,TRUE,2
X.5405.uned,CRC,Colorectal Cancer,X-5405,untreated,TRUE,2
X.5421.LF27.biib,CRC,Colorectal Cancer,X-5421,LFW527 + binimetinib,TRUE,2
X.5438.5FFU,CRC,Colorectal Cancer,X-5438,5FU,TRUE,2
X.5438.biib,CRC,Colorectal Cancer,X-5438,binimetinib,TRUE,2
X.5438.BK20,CRC,Colorectal Cancer,X-5438,BKM120,TRUE,2
X.5438.BK20.LJ49,CRC,Colorectal Cancer,X-5438,BKM120 + LJC049,TRUE,2
X.5438.BY19,CRC,Colorectal Cancer,X-5438,BYL719,TRUE,2
X.5438.BY19.biib,CRC,Colorectal Cancer,X-5438,BYL719 + binimetinib,TRUE,2
X.5438.BY19.ceab,CRC,Colorectal Cancer,X-5438,BYL719 + cetuximab,TRUE,2
X.5438.BY19.ceab.enib,CRC,Colorectal Cancer,X-5438,BYL719 + cetuximab + encorafenib,TRUE,2
X.5438.BY19.enib,CRC,Colorectal Cancer,X-5438,BYL719 + encorafenib,TRUE,2
X.5438.BY19.LJ16,CRC,Colorectal Cancer,X-5438,BYL719 + LJM716,TRUE,2
X.5438.ceab,CRC,Colorectal Cancer,X-5438,cetuximab,TRUE,2
X.5438.ceab.enib,CRC,Colorectal Cancer,X-5438,cetuximab + encorafenib,TRUE,2
X.5438.CG97,CRC,Colorectal Cancer,X-5438,CGM097,TRUE,2
X.5438.CK20,CRC,Colorectal Cancer,X-5438,CKX620,TRUE,2
X.5438.CL57,CRC,Colorectal Cancer,X-5438,CLR457,TRUE,2
X.5438.enib,CRC,Colorectal Cancer,X-5438,encorafenib,TRUE,2
X.5438.HD01,CRC,Colorectal Cancer,X-5438,HDM201,TRUE,2
X.5438.LE11,CRC,Colorectal Cancer,X-5438,LEE011,TRUE,2
X.5438.LF27.biib,CRC,Colorectal Cancer,X-5438,LFW527 + binimetinib,TRUE,2
X.5438.LJ49,CRC,Colorectal Cancer,X-5438,LJC049,TRUE,2
X.5438.LK36,CRC,Colorectal Cancer,X-5438,LKA136,TRUE,2
X.5438.uned,CRC,Colorectal Cancer,X-5438,untreated,TRUE,2
X.5446.5FFU,CRC,Colorectal Cancer,X-5446,5FU,TRUE,2
X.5446.biib,CRC,Colorectal Cancer,X-5446,binimetinib,TRUE,2
X.5446.BK20,CRC,Colorectal Cancer,X-5446,BKM120,TRUE,2
X.5446.BK20.LJ49,CRC,Colorectal Cancer,X-5446,BKM120 + LJC049,TRUE,2
X.5446.BY19,CRC,Colorectal Cancer,X-5446,BYL719,TRUE,2
X.5446.BY19.biib,CRC,Colorectal Cancer,X-5446,BYL719 + binimetinib,TRUE,2
X.5446.BY19.ceab,CRC,Colorectal Cancer,X-5446,BYL719 + cetuximab,TRUE,2
X.5446.BY19.ceab.enib,CRC,Colorectal Cancer,X-5446,BYL719 + cetuximab + encorafenib,TRUE,2
X.5446.BY19.enib,CRC,Colorectal Cancer,X-5446,BYL719 + encorafenib,TRUE,2
X.5446.BY19.LJ16,CRC,Colorectal Cancer,X-5446,BYL719 + LJM716,TRUE,2
X.5446.ceab,CRC,Colorectal Cancer,X-5446,cetuximab,TRUE,2
X.5446.ceab.enib,CRC,Colorectal Cancer,X-5446,cetuximab + encorafenib,TRUE,2
X.5446.CG97,CRC,Colorectal Cancer,X-5446,CGM097,TRUE,2
X.5446.CK20,CRC,Colorectal Cancer,X-5446,CKX620,TRUE,2
X.5446.CL57,CRC,Colorectal Cancer,X-5446,CLR457,TRUE,2
X.5446.enib,CRC,Colorectal Cancer,X-5446,encorafenib,TRUE,2
X.5446.HD01,CRC,Colorectal Cancer,X-5446,HDM201,TRUE,2
X.5446.LE11,CRC,Colorectal Cancer,X-5446,LEE011,TRUE,2
X.5446.LF27.biib,CRC,Colorectal Cancer,X-5446,LFW527 + binimetinib,TRUE,2
X.5446.LJ49,CRC,Colorectal Cancer,X-5446,LJC049,TRUE,2
X.5446.LK36,CRC,Colorectal Cancer,X-5446,LKA136,TRUE,2
X.5446.uned,CRC,Colorectal Cancer,X-5446,untreated,TRUE,2
X.5494.5FFU,CRC,Colorectal Cancer,X-5494,5FU,TRUE,2
X.5494.biib,CRC,Colorectal Cancer,X-5494,binimetinib,TRUE,2
X.5494.BK20,CRC,Colorectal Cancer,X-5494,BKM120,TRUE,2
X.5494.BK20.LJ49,CRC,Colorectal Cancer,X-5494,BKM120 + LJC049,TRUE,2
X.5494.BY19,CRC,Colorectal Cancer,X-5494,BYL719,TRUE,2
X.5494.BY19.biib,CRC,Colorectal Cancer,X-5494,BYL719 + binimetinib,TRUE,2
X.5494.BY19.ceab.enib,CRC,Colorectal Cancer,X-5494,BYL719 + cetuximab + encorafenib,TRUE,2
X.5494.BY19.enib,CRC,Colorectal Cancer,X-5494,BYL719 + encorafenib,TRUE,2
X.5494.BY19.LJ16,CRC,Colorectal Cancer,X-5494,BYL719 + LJM716,TRUE,2
X.5494.ceab.enib,CRC,Colorectal Cancer,X-5494,cetuximab + encorafenib,TRUE,2
X.5494.CG97,CRC,Colorectal Cancer,X-5494,CGM097,TRUE,2
X.5494.CK20,CRC,Colorectal Cancer,X-5494,CKX620,TRUE,2
X.5494.CL57,CRC,Colorectal Cancer,X-5494,CLR457,TRUE,2
X.5494.enib,CRC,Colorectal Cancer,X-5494,encorafenib,TRUE,2
X.5494.HD01,CRC,Colorectal Cancer,X-5494,HDM201,TRUE,2
X.5494.LE11,CRC,Colorectal Cancer,X-5494,LEE011,TRUE,2
X.5494.LJ49,CRC,Colorectal Cancer,X-5494,LJC049,TRUE,2
X.5494.LK36,CRC,Colorectal Cancer,X-5494,LKA136,TRUE,2
X.5494.uned,CRC,Colorectal Cancer,X-5494,untreated,TRUE,2
X.5495.5FFU,CRC,Colorectal Cancer,X-5495,5FU,TRUE,2
X.5495.biib,CRC,Colorectal Cancer,X-5495,binimetinib,TRUE,2
X.5495.BK20,CRC,Colorectal Cancer,X-5495,BKM120,TRUE,2
X.5495.BK20.LJ49,CRC,Colorectal Cancer,X-5495,BKM120 + LJC049,TRUE,2
X.5495.BY19,CRC,Colorectal Cancer,X-5495,BYL719,TRUE,2
X.5495.BY19.biib,CRC,Colorectal Cancer,X-5495,BYL719 + binimetinib,TRUE,2
X.5495.BY19.ceab,CRC,Colorectal Cancer,X-5495,BYL719 + cetuximab,TRUE,2
X.5495.BY19.ceab.enib,CRC,Colorectal Cancer,X-5495,BYL719 + cetuximab + encorafenib,TRUE,2
X.5495.BY19.enib,CRC,Colorectal Cancer,X-5495,BYL719 + encorafenib,TRUE,2
X.5495.BY19.LJ16,CRC,Colorectal Cancer,X-5495,BYL719 + LJM716,TRUE,2
X.5495.ceab,CRC,Colorectal Cancer,X-5495,cetuximab,TRUE,2
X.5495.ceab.enib,CRC,Colorectal Cancer,X-5495,cetuximab + encorafenib,TRUE,2
X.5495.CG97,CRC,Colorectal Cancer,X-5495,CGM097,TRUE,2
X.5495.CK20,CRC,Colorectal Cancer,X-5495,CKX620,TRUE,2
X.5495.CL57,CRC,Colorectal Cancer,X-5495,CLR457,TRUE,2
X.5495.enib,CRC,Colorectal Cancer,X-5495,encorafenib,TRUE,2
X.5495.HD01,CRC,Colorectal Cancer,X-5495,HDM201,TRUE,2
X.5495.LE11,CRC,Colorectal Cancer,X-5495,LEE011,TRUE,2
X.5495.LF27.biib,CRC,Colorectal Cancer,X-5495,LFW527 + binimetinib,TRUE,2
X.5495.LJ49,CRC,Colorectal Cancer,X-5495,LJC049,TRUE,2
X.5495.LK36,CRC,Colorectal Cancer,X-5495,LKA136,TRUE,2
X.5495.uned,CRC,Colorectal Cancer,X-5495,untreated,TRUE,2
X.5536.LF27.biib,CRC,Colorectal Cancer,X-5536,LFW527 + binimetinib,TRUE,2
X.5578.5FFU,CRC,Colorectal Cancer,X-5578,5FU,TRUE,2
X.5578.biib,CRC,Colorectal Cancer,X-5578,binimetinib,TRUE,2
X.5578.BK20,CRC,Colorectal Cancer,X-5578,BKM120,TRUE,2
X.5578.BK20.LJ49,CRC,Colorectal Cancer,X-5578,BKM120 + LJC049,TRUE,2
X.5578.BY19,CRC,Colorectal Cancer,X-5578,BYL719,TRUE,2
X.5578.BY19.biib,CRC,Colorectal Cancer,X-5578,BYL719 + binimetinib,TRUE,2
X.5578.BY19.ceab,CRC,Colorectal Cancer,X-5578,BYL719 + cetuximab,TRUE,2
X.5578.BY19.ceab.enib,CRC,Colorectal Cancer,X-5578,BYL719 + cetuximab + encorafenib,TRUE,2
X.5578.BY19.enib,CRC,Colorectal Cancer,X-5578,BYL719 + encorafenib,TRUE,2
X.5578.BY19.LJ16,CRC,Colorectal Cancer,X-5578,BYL719 + LJM716,TRUE,2
X.5578.ceab,CRC,Colorectal Cancer,X-5578,cetuximab,TRUE,2
X.5578.ceab.enib,CRC,Colorectal Cancer,X-5578,cetuximab + encorafenib,TRUE,2
X.5578.CG97,CRC,Colorectal Cancer,X-5578,CGM097,TRUE,2
X.5578.CK20,CRC,Colorectal Cancer,X-5578,CKX620,TRUE,2
X.5578.CL57,CRC,Colorectal Cancer,X-5578,CLR457,TRUE,2
X.5578.enib,CRC,Colorectal Cancer,X-5578,encorafenib,TRUE,2
X.5578.HD01,CRC,Colorectal Cancer,X-5578,HDM201,TRUE,2
X.5578.LE11,CRC,Colorectal Cancer,X-5578,LEE011,TRUE,2
X.5578.LJ49,CRC,Colorectal Cancer,X-5578,LJC049,TRUE,2
X.5578.LK36,CRC,Colorectal Cancer,X-5578,LKA136,TRUE,2
X.5578.uned,CRC,Colorectal Cancer,X-5578,untreated,TRUE,2
X.0933.abraxane,CRC,,X-0933,abraxane,FALSE,2
X.0933.binimetinib-3.5mpk,CRC,,X-0933,binimetinib-3.5mpk,FALSE,2
